iter	Logloss
0	0.622127861
1	0.5549403206
2	0.5168173648
3	0.4864501065
4	0.4545286713
5	0.4263694128
6	0.4045520966
7	0.3830945483
8	0.36930081
9	0.363122666
10	0.3539864046
11	0.3484703513
12	0.3395002666
13	0.3318467005
14	0.3271370342
15	0.3257450565
16	0.3209413196
17	0.3178764303
18	0.3134997667
19	0.3102959542
20	0.3073099915
21	0.3044522778
22	0.3015790325
23	0.300771692
24	0.2989045943
25	0.2969344631
26	0.2950051941
27	0.2933324641
28	0.2926521804
29	0.2911700114
30	0.2902517944
31	0.2884311176
32	0.2877315924
33	0.2868212429
34	0.2861433177
35	0.2858284949
36	0.2849069933
37	0.2826258941
38	0.2819632992
39	0.2818379442
40	0.2814927808
41	0.2793071795
42	0.2785692078
43	0.2777935426
44	0.2771189023
45	0.2765949486
46	0.2759458957
47	0.2756764207
48	0.2751727673
49	0.2748126116
50	0.2746650253
51	0.2745402919
52	0.2742629979
53	0.2734719204
54	0.2730610767
55	0.2721065944
56	0.2719520788
57	0.2714779787
58	0.2709083656
59	0.2707377668
60	0.2706510964
61	0.2703624642
62	0.2696586272
63	0.2691524849
64	0.2686081747
65	0.267517886
66	0.2674932637
67	0.2672973736
68	0.2670988114
69	0.2668625076
70	0.266459551
71	0.2661629725
72	0.2653606697
73	0.265202451
74	0.2648705252
75	0.2647921325
76	0.2645680861
77	0.2638194959
78	0.263651697
79	0.2633895225
80	0.2633580218
81	0.2631515916
82	0.2629854139
83	0.262526273
84	0.2622692797
85	0.262055182
86	0.2609951405
87	0.2607042778
88	0.2602546937
89	0.2598886309
90	0.2597112933
91	0.2592460625
92	0.2588544577
93	0.25858553
94	0.2584339436
95	0.2583900392
96	0.2582030226
97	0.2581622118
98	0.2577837711
99	0.2577754495
100	0.2576236339
101	0.2574419621
102	0.2566139151
103	0.256271497
104	0.2558544684
105	0.2550877478
106	0.2545872693
107	0.2544986711
108	0.2538492723
109	0.2537937779
110	0.2536346299
111	0.2530772435
112	0.2523854336
113	0.2518203125
114	0.251771081
115	0.2514376409
116	0.2508488557
117	0.2507220962
118	0.2505623626
119	0.2504503314
120	0.2499810434
121	0.2498768693
122	0.2491326882
123	0.248442225
124	0.2478827441
